"X","gene","timepoint"
397,"HORVU.MOREX.r2.6HG0503820","32H"
398,"HORVU.MOREX.r2.5HG0378330","32H"
399,"HORVU.MOREX.r2.7HG0590950","32H"
400,"HORVU.MOREX.r2.1HG0051010","32H"
401,"HORVU.MOREX.r2.2HG0151240","32H"
402,"HORVU.MOREX.r2.2HG0126990","32H"
403,"HORVU.MOREX.r2.2HG0111780","32H"
404,"HORVU.MOREX.r2.3HG0196790","32H"
405,"HORVU.MOREX.r2.4HG0327490","32H"
406,"HORVU.MOREX.r2.2HG0136390","32H"
407,"HORVU.MOREX.r2.4HG0318710","32H"
408,"HORVU.MOREX.r2.4HG0288160","32H"
409,"HORVU.MOREX.r2.1HG0001550","32H"
410,"HORVU.MOREX.r2.3HG0185980","32H"
411,"HORVU.MOREX.r2.7HG0564930","32H"
412,"HORVU.MOREX.r2.1HG0052720","32H"
413,"HORVU.MOREX.r2.7HG0574990","32H"
414,"HORVU.MOREX.r2.2HG0138840","32H"
415,"HORVU.MOREX.r2.4HG0295190","32H"
416,"HORVU.MOREX.r2.6HG0514250","32H"
417,"HORVU.MOREX.r2.7HG0602110","32H"
418,"HORVU.MOREX.r2.1HG0062130","32H"
419,"HORVU.MOREX.r2.1HG0027300","32H"
420,"HORVU.MOREX.r2.4HG0320300","32H"
421,"HORVU.MOREX.r2.2HG0135010","32H"
422,"HORVU.MOREX.r2.4HG0282010","32H"
423,"HORVU.MOREX.r2.4HG0316360","32H"
424,"HORVU.MOREX.r2.6HG0502060","32H"
425,"HORVU.MOREX.r2.2HG0159500","32H"
426,"HORVU.MOREX.r2.7HG0534770","32H"
427,"HORVU.MOREX.r2.3HG0250030","32H"
428,"HORVU.MOREX.r2.5HG0407970","32H"
429,"HORVU.MOREX.r2.6HG0486840","32H"
430,"HORVU.MOREX.r2.5HG0353760","32H"
431,"HORVU.MOREX.r2.7HG0595950","32H"
432,"HORVU.MOREX.r2.2HG0088550","32H"
433,"HORVU.MOREX.r2.2HG0088540","32H"
434,"HORVU.MOREX.r2.1HG0050080","32H"
435,"HORVU.MOREX.r2.6HG0519230","32H"
436,"HORVU.MOREX.r2.6HG0519270","32H"
437,"HORVU.MOREX.r2.4HG0303540","32H"
438,"HORVU.MOREX.r2.3HG0254990","32H"
439,"HORVU.MOREX.r2.5HG0406700","32H"
440,"HORVU.MOREX.r2.7HG0605160","32H"
441,"HORVU.MOREX.r2.6HG0473420","32H"
442,"HORVU.MOREX.r2.5HG0422960","32H"
443,"HORVU.MOREX.r2.6HG0481130","32H"
444,"HORVU.MOREX.r2.1HG0022240","32H"
445,"HORVU.MOREX.r2.7HG0543930","32H"
446,"HORVU.MOREX.r2.5HG0430540","32H"
447,"HORVU.MOREX.r2.6HG0512720","32H"
448,"HORVU.MOREX.r2.7HG0584850","32H"
449,"HORVU.MOREX.r2.7HG0579070","32H"
450,"HORVU.MOREX.r2.3HG0199870","32H"
451,"HORVU.MOREX.r2.6HG0526100","32H"
452,"HORVU.MOREX.r2.1HG0030810","32H"
453,"HORVU.MOREX.r2.7HG0611940","32H"
454,"HORVU.MOREX.r2.4HG0331010","32H"
455,"HORVU.MOREX.r2.3HG0182960","32H"
456,"HORVU.MOREX.r2.6HG0517880","32H"
457,"HORVU.MOREX.r2.4HG0332540","32H"
458,"HORVU.MOREX.r2.3HG0229090","32H"
459,"HORVU.MOREX.r2.4HG0277590","32H"
460,"HORVU.MOREX.r2.7HG0603630","32H"
461,"HORVU.MOREX.r2.4HG0281140","32H"
462,"HORVU.MOREX.r2.2HG0161480","32H"
463,"HORVU.MOREX.r2.3HG0229440","32H"
464,"HORVU.MOREX.r2.6HG0499630","32H"
465,"HORVU.MOREX.r2.1HG0055750","32H"
466,"HORVU.MOREX.r2.5HG0370130","32H"
467,"HORVU.MOREX.r2.3HG0244180","32H"
468,"HORVU.MOREX.r2.4HG0316020","32H"
469,"HORVU.MOREX.r2.7HG0554930","32H"
470,"HORVU.MOREX.r2.4HG0346800","32H"
471,"HORVU.MOREX.r2.1HG0040620","32H"
472,"HORVU.MOREX.r2.6HG0474660","32H"
473,"HORVU.MOREX.r2.2HG0146520","32H"
474,"HORVU.MOREX.r2.4HG0332240","32H"
475,"HORVU.MOREX.r2.1HG0075340","32H"
476,"HORVU.MOREX.r2.6HG0526090","32H"
477,"HORVU.MOREX.r2.7HG0547010","32H"
478,"HORVU.MOREX.r2.7HG0596110","32H"
479,"HORVU.MOREX.r2.2HG0097620","32H"
480,"HORVU.MOREX.r2.2HG0085770","32H"
481,"HORVU.MOREX.r2.4HG0338770","32H"
482,"HORVU.MOREX.r2.5HG0421380","32H"
483,"HORVU.MOREX.r2.7HG0588800","32H"
484,"HORVU.MOREX.r2.7HG0595370","32H"
485,"HORVU.MOREX.r2.3HG0207940","32H"
486,"HORVU.MOREX.r2.6HG0491650","32H"
487,"HORVU.MOREX.r2.5HG0432560","32H"
488,"HORVU.MOREX.r2.3HG0255040","32H"
489,"HORVU.MOREX.r2.6HG0499340","32H"
490,"HORVU.MOREX.r2.6HG0451420","32H"
491,"HORVU.MOREX.r2.4HG0338720","32H"
492,"HORVU.MOREX.r2.2HG0140950","32H"
493,"HORVU.MOREX.r2.7HG0552630","32H"
494,"HORVU.MOREX.r2.5HG0443540","32H"
495,"HORVU.MOREX.r2.7HG0552980","32H"
496,"HORVU.MOREX.r2.4HG0327690","32H"
497,"HORVU.MOREX.r2.3HG0189640","32H"
498,"HORVU.MOREX.r2.4HG0330730","32H"
499,"HORVU.MOREX.r2.6HG0507060","32H"
500,"HORVU.MOREX.r2.5HG0367090","32H"
501,"HORVU.MOREX.r2.2HG0125150","32H"
502,"HORVU.MOREX.r2.3HG0271220","32H"
503,"HORVU.MOREX.r2.3HG0194350","32H"
504,"HORVU.MOREX.r2.4HG0345170","32H"
505,"HORVU.MOREX.r2.5HG0402170","32H"
506,"HORVU.MOREX.r2.5HG0394350","32H"
507,"HORVU.MOREX.r2.7HG0543400","32H"
508,"HORVU.MOREX.r2.1HG0031080","32H"
509,"HORVU.MOREX.r2.7HG0611330","32H"
510,"HORVU.MOREX.r2.3HG0263950","32H"
511,"HORVU.MOREX.r2.1HG0027190","32H"
512,"HORVU.MOREX.r2.4HG0279310","32H"
513,"HORVU.MOREX.r2.5HG0380330","32H"
514,"HORVU.MOREX.r2.4HG0346270","32H"
